title,car_number,price,new_car_price,licensing_time,miles,license_location,battery_volume,battery_power_data,battery_torque_data,endurance_miles,make,type













































































































































































































































































































































































































































































































































",?108.00 ,新车指导价124.20万(含税),2017-10,0.9万公里,北京,100,386.0,-,552,特斯拉,中大型SUV

江铃集团新能源 江铃E160 2017款 标准型   ,"车源号：HC-54174617






















































































































































































































































































































































































































































































































































































































",?4.20 ,新车指导价10.10万(含税),2017-09,0.87万公里,长治,20,35.0,165,152,江铃集团新能源,小型车

川汽野马 野马U能E350 2017款 乐享版   ,"车源号：HC-48456769





















































































































































































































































































































































































































































































































































































































",?14.98 ,新车指导价27.10万(含税),2018-05,0.38万公里,达州,42.21,95.0,300,250,野马汽车,紧凑型SUV

奇瑞eQ1 2017款 智享版 2座   ,"车源号：HC-51999110




















































































































































































































































































































































































































































































































































































































",?4.45 ,新车指导价17.60万(含税),2017-08,1.23万公里,石家庄,18.2,30.0,120,151,奇瑞新能源,微型车

特斯拉Model X 2016款 MODEL X 90D  ,"车源号：HC-38038130



















































































































































































































































































































































































































































































































































































































",?82.00 ,新车指导价106.90万(含税),2017-10,1.15万公里,南京,90,386.0,-,489,特斯拉,中大型SUV

众泰E200 2016款 三门两座科技版  ,"车源号：HC-54990249


















































































































































































































































































































































































































































































































































































































",?4.80 ,新车指导价19.70万(含税),2017-05,0.85万公里,德州,24.5,60.0,165,155,众泰汽车,微型车

江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版    ,"车源号：HC-52487214

















































































































































































































































































































































































































































































































































































































",?4.56 ,新车指导价12.90万(含税),2018-03,0.07万公里,漳州,19.66,60.0,200,156,江淮汽车,微型车

众泰E200 2016款 三门两座科技版  ,"车源号：HC-20085356
















































































































































































































































































































































































































































































































































































































",?4.70 ,新车指导价19.70万(含税),2016-07,1.62万公里,青岛,24.5,60.0,165,155,众泰汽车,微型车

特斯拉Model X 2016款 Model X 75D   ,"车源号：HC-50246156















































































































































































































































































































































































































































































































































































































",?79.00 ,新车指导价104.70万(含税),2017-11,0.86万公里,北京,75,386.0,-,406,特斯拉,中大型SUV

北汽新能源 EV系列 2014款 E150EV 科技版  ,"车源号：HC-50222833














































































































































































































































































































































































































































































































































































































",?3.42 ,新车指导价25.10万(含税),2015-06,2.8万公里,上海,25.6,45.0,144,150,北汽新能源,小型车

奇瑞eQ 2015款 舒适型  ,"车源号：HC-55547065













































































































































































































































































































































































































































































































































































































",?3.60 ,新车指导价17.40万(含税),2015-06,1.91万公里,南阳,22.3,41.8,150,151,奇瑞新能源,微型车

特斯拉MODEL S 2016款 MODEL S 60D   ,"车源号：HC-54623795












































































































































































































































































































































































































































































































































































































",?71.00 ,新车指导价82.20万(含税),2017-03,3.37万公里,北京,60,386.0,525,408,特斯拉,中大型车

知豆D2 2016款 D2S   ,"车源号：HC-52424734











































































































































































































































































































































































































































































































































































































",?3.50 ,新车指导价20.50万(含税),2017-08,0.84万公里,杭州,18,15.0,95,155,知豆电动车,微型车

长安奔奔 2017款 纯电动 180公里时尚型  ,"车源号：HC-32592411










































































































































































































































































































































































































































































































































































































",?5.50 ,新车指导价17.50万(含税),2017-11,0.33万公里,衡水,23.2,55.0,170,180,长安汽车,微型车

特斯拉Model X 2016款 Model X 75D   ,"车源号：HC-58655341









































































































































































































































































































































































































































































































































































































",?83.00 ,新车指导价104.70万(含税),2017-12,1.01万公里,上海,75,386.0,-,406,特斯拉,中大型SUV

众泰 2014款 云100 舒适型   ,"车源号：HC-43404519








































































































































































































































































































































































































































































































































































































",?4.50 ,新车指导价17.20万(含税),2015-03,1.59万公里,惠州,18,18.0,120,155,众泰汽车,微型车

知豆D2 2015款 D2  ,"车源号：HC-55468863







































































































































































































































































































































































































































































































































































































",?3.50 ,新车指导价17.20万(含税),2015-12,2.12万公里,广州,-,9.0,85,180,知豆电动车,微型车

特斯拉MODEL S 2017款 Model S P100D    ,"车源号：HC-53739993






































































































































































































































































































































































































































































































































































































",?132.00 ,新车指导价159.90万(含税),2017-06,2.96万公里,郑州,100,568.0,967,570,特斯拉,中大型车

特斯拉Model X 2016款 Model X P100D   ,"车源号：HC-58370583





































































































































































































































































































































































































































































































































































































",?125.00 ,新车指导价170.70万(含税),2018-08,0.58万公里,汕头,100,568.0,967,507,特斯拉,中大型SUV

特斯拉Model X 2017款 Model X 100D   ,"车源号：HC-50329723




































































































































































































































































































































































































































































































































































































",?110.00 ,新车指导价124.20万(含税),2018-06,1.42万公里,广州,100,386.0,-,552,特斯拉,中大型SUV

特斯拉Model X 2016款 Model X 75D    ,"车源号：HC-52742102






































































































































































































































































































































